Load GaoDataSet from /home/sagemaker-user/BigDataSys-Project8/SolubNet/SolubNetD/dataset/Delaney1144.csv ... done (1145 lines, 9.560 seconds) 
# of training graphs/labels:      1030
# of teating graphs/labels:      114
Training Started ...
******************** 1  fold ing.... ********************
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
       241           0.588           0.519           0.686           0.892           0.950           0.564           0.515           0.654           0.909           0.941         631.288
       242           0.587           0.518           0.685           0.892           0.950           0.561           0.512           0.652           0.910           0.942         633.860
       243           0.588           0.519           0.686           0.892           0.950           0.563           0.514           0.654           0.909           0.940         636.445
       244           0.588           0.518           0.686           0.892           0.950           0.562           0.514           0.653           0.909           0.941         639.133
       245           0.588           0.519           0.686           0.892           0.950           0.564           0.515           0.654           0.909           0.941         641.727
       246           0.588           0.518           0.685           0.892           0.950           0.564           0.515           0.654           0.909           0.941         644.321
       247           0.587           0.517           0.685           0.892           0.950           0.555           0.505           0.646           0.911           0.942         646.939
       248           0.588           0.518           0.686           0.892           0.950           0.556           0.506           0.647           0.911           0.941         649.554
       249           0.587           0.517           0.685           0.892           0.950           0.557           0.507           0.648           0.911           0.942         652.174
       250           0.587           0.517           0.685           0.892           0.950           0.555           0.505           0.646           0.911           0.942         654.794
       251           0.587           0.518           0.685           0.892           0.950           0.556           0.505           0.647           0.911           0.941         657.434
       252           0.586           0.516           0.685           0.892           0.951           0.548           0.495           0.639           0.913           0.942         660.062
       253           0.591           0.519           0.690           0.891           0.950           0.544           0.491           0.635           0.914           0.944         662.698
       254           0.594           0.520           0.693           0.890           0.950           0.544           0.490           0.635           0.914           0.944         665.340
       255           0.595           0.520           0.694           0.889           0.950           0.543           0.490           0.635           0.914           0.944         667.969
       256           0.597           0.521           0.695           0.889           0.950           0.546           0.491           0.637           0.914           0.944         670.599
       257           0.595           0.518           0.694           0.889           0.950           0.565           0.506           0.656           0.909           0.946         673.241
       258           0.600           0.522           0.698           0.888           0.950           0.557           0.499           0.648           0.911           0.945         675.874
       259           0.597           0.520           0.695           0.889           0.950           0.552           0.496           0.643           0.912           0.944         678.595
       260           0.595           0.519           0.694           0.890           0.950           0.552           0.496           0.643           0.912           0.944         681.229
       261           0.595           0.521           0.692           0.890           0.950           0.536           0.486           0.628           0.916           0.944         683.865
       262           0.590           0.518           0.688           0.891           0.951           0.539           0.488           0.631           0.915           0.944         686.489
       263           0.591           0.518           0.689           0.891           0.951           0.538           0.487           0.630           0.916           0.945         689.116
       264           0.591           0.518           0.688           0.891           0.951           0.540           0.488           0.631           0.915           0.944         691.753
       265           0.594           0.521           0.692           0.890           0.950           0.545           0.493           0.636           0.914           0.945         694.392
       266           0.600           0.525           0.697           0.888           0.949           0.546           0.494           0.637           0.914           0.945         697.032
       267           0.602           0.526           0.699           0.888           0.949           0.550           0.496           0.641           0.913           0.945         699.660
       268           0.604           0.528           0.701           0.887           0.949           0.553           0.499           0.644           0.912           0.945         702.302
       269           0.621           0.541           0.720           0.881           0.945           0.546           0.496           0.637           0.914           0.946         704.921
       270           0.643           0.561           0.742           0.874           0.940           0.517           0.478           0.609           0.921           0.947         707.541
       271           0.641           0.560           0.741           0.874           0.939           0.508           0.471           0.601           0.923           0.947         710.162
       272           0.633           0.554           0.733           0.877           0.941           0.515           0.475           0.608           0.922           0.945         712.804
       273           0.620           0.543           0.718           0.882           0.943           0.560           0.510           0.651           0.910           0.942         715.420
       274           0.609           0.534           0.707           0.885           0.945           0.555           0.507           0.646           0.911           0.943         718.107
       275           0.606           0.532           0.704           0.886           0.946           0.553           0.504           0.644           0.912           0.943         720.753
